Price,Volume
9166.03000000,0.00188600
9165.68000000,0.02925400
9165.67000000,0.01240100
9165.60000000,0.01683500
9165.51000000,0.27369900
9165.50000000,0.02089500
9165.48000000,0.10900800
9165.41000000,0.13485400
9165.00000000,0.06503300
9164.64000000,1.53858100
9164.63000000,4.72000000
9164.62000000,0.21713900
9164.38000000,1.08309500
9164.35000000,0.98300000
9164.33000000,0.10000000
9164.26000000,0.96600000
9164.25000000,0.20000000
9164.17000000,0.97700000
9164.13000000,0.50000000
9163.60000000,1.87609900
9163.55000000,1.67600000
9163.49000000,0.50000000
9163.39000000,1.07163400
9163.26000000,0.14710400
9163.07000000,0.09479700
9163.05000000,0.30600000
9162.83000000,0.10000000
9162.71000000,0.25000000
9162.58000000,0.72746800
9162.52000000,0.20000000
9162.51000000,0.22746800
9162.49000000,0.30000000
9162.38000000,1.22811700
9162.37000000,1.11895700
9162.29000000,0.10910400
9162.25000000,1.63373100
9162.20000000,1.63368300
9162.11000000,0.50000000
9162.06000000,0.60000000
9161.97000000,0.39999900
9161.91000000,0.20194100
9161.90000000,0.21000000
9161.89000000,0.01894900
9161.78000000,1.87525400
9161.76000000,0.00134200
9161.74000000,0.05683000
9161.73000000,0.21700000
9161.70000000,1.00000000
9161.67000000,0.14550000
9161.66000000,0.15300000
9161.65000000,0.81754200
9161.62000000,0.09473100
9161.47000000,1.00000000
9161.45000000,1.00000000
9161.42000000,0.24000000
9161.31000000,0.75660000
9161.30000000,0.96000000
9161.15000000,0.23725800
9161.07000000,0.34281100
9160.94000000,0.33337200
9160.82000000,0.05686500
9160.73000000,0.32748400
9160.69000000,0.14700000
9160.53000000,0.03000000
9160.52000000,0.10909700
9160.47000000,0.22738200
9160.37000000,2.00000000
9160.09000000,0.04000000
9160.01000000,0.32751100
9160.00000000,0.79003300
9159.96000000,0.15000000
9159.83000000,0.09270000
9159.73000000,0.14100000
9159.72000000,0.14700000
9159.65000000,0.05000000
9159.59000000,5.00000000
9159.55000000,0.22729600
9159.40000000,0.29100000
9159.28000000,0.51157900
9159.08000000,0.00162600
9158.98000000,0.00232000
9158.71000000,0.21837100
9158.65000000,0.15000000
9158.59000000,0.09566000
9158.58000000,0.35390000
9158.44000000,0.62550200
9158.42000000,0.02000000
9158.30000000,0.00114400
9158.17000000,0.10528500
9158.03000000,0.09171500
9158.02000000,0.15300000
9157.95000000,0.00162600
9157.89000000,0.00600000
9157.84000000,0.10000000
9157.81000000,0.01091000
9157.66000000,0.11000000
9157.60000000,0.56818000
9157.58000000,0.25000000
9157.57000000,0.03836400
9157.52000000,0.29700000
